company_name,wko_rows,wko_profile_url,http_status,employee_best_numeric_mention,employee_mention_kinds,employee_evidence_contexts,mentions_count,profile_text_len,error
Andreas Forster,1,https://firmen.wko.at/andreas-forster/nieder%c3%b6sterreich/?firmaid=01b754e5-2dbd-4cf9-94ab-3f4faa0c1567&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Andreas Macheiner,1,https://firmen.wko.at/andreas-macheiner/nieder%c3%b6sterreich/?firmaid=2004b0cd-db42-408f-a29e-8ecb22341ac0&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
"Andreas Nobitschek, MSc, MLS",1,https://firmen.wko.at/andreas-nobitschek-msc-mls/wien/?firmaid=3e38102a-c96e-4aea-94d9-34907293a9da&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Andreas Reitsammer,2,https://firmen.wko.at/andreas-reitsammer/salzburg/?firmaid=2971998b-c21a-405c-912c-4693d3010fa5&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,200,,,,0,1954,
Andreas Wetzer Immo-Consulting e.U.,1,https://firmen.wko.at/andreas-wetzer-immo-consulting-eu/salzburg/?firmaid=0f35b7bb-e607-44f1-8794-77c78c96454a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,200,,,,0,3544,
Angela Edeltraut Staneck,1,https://firmen.wko.at/angela-edeltraut-staneck/tirol/?firmaid=34c74035-77d1-419e-8d94-0040ccc670a1&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Angelika Dengel-Holzer,1,https://firmen.wko.at/angelika-dengel-holzer-angelika-dengel-immobilien/tirol/?firmaid=29d2d61a-554a-47d1-bcb6-58d326936f7f&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Angelika Trappel,1,https://firmen.wko.at/angelika-trappel/wien/?firmaid=3445c981-311b-4f42-a886-08a18757354f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Anker - Immobilien Gesellschaft m.b.H.,1,https://firmen.wko.at/anker-immobilien-gesellschaft-mbh-wir-beraten-sie-professionell-in-allen-immobilienfragen-wir/wien/?firmaid=e6cd649e-f1fd-4a6c-b7d3-8709252d7005&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Anna Isabella Hoffmann-Gudehus,1,https://firmen.wko.at/anna-isabella-hoffmann-gudehus-hoffmann-immobilien/steiermark/?firmaid=7b7f0120-ddd5-406a-b97b-677e8836d42a&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Anna Maria Olischar,1,https://firmen.wko.at/anna-maria-olischar/wien/?firmaid=2f400752-1c1a-48a3-90a6-38ce65c37833&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
Anton Wolfgang Habersack,1,https://firmen.wko.at/anton-wolfgang-habersack/steiermark/?firmaid=6465fb79-f820-456d-a1a0-81a3d544d84f&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
AP Immobilienberatung GmbH,1,https://firmen.wko.at/ap-immobilienberatung-gmbh/tirol/?firmaid=a8959ada-2dd8-4709-bf00-820c6fee82b9&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,403,,,,0,0,
